Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2019,8,10,11:20,UTC,0,1013.9,71,0,-1,21.2,15.6,36100,163,5.8,3.3
2019,8,10,11:30,UTC,0,1014,66,0,-1,20.9,14.3,33750,165,5.4,3.6
2019,8,10,11:40,UTC,0,1014,65,0,-1,21.5,14.5,37700,169,4.9,3.1
2019,8,10,11:50,UTC,0,1014.1,61,0,-1,21.3,13.5,38700,175,4.8,3.2
2019,8,10,12:00,UTC,0,1014.1,62,0,-1,21.2,13.7,49990,183,5.5,3.1
2019,8,10,12:10,UTC,0,1014,69,0,-1,20.4,14.4,31770,191,4.7,3.3
2019,8,10,12:20,UTC,0,1014,65,0,-1,20.3,13.6,41150,197,4.6,3.2
2019,8,10,12:30,UTC,0,1013.9,66,0,-1,20.1,13.5,43580,199,4.1,3
2019,8,10,12:40,UTC,0,1013.9,66,0,-1,20.2,13.5,45770,204,4.1,3
2019,8,10,12:50,UTC,0,1013.7,63,0,-1,20.3,12.9,42140,198,3.5,2.1
2019,8,10,13:00,UTC,0,1013.6,59,0,-1,20.6,12.2,38850,172,3.7,2.4
2019,8,10,13:10,UTC,1,1013.5,55,0,-1,20.8,11.3,40660,188,3.7,2.2
2019,8,10,13:20,UTC,1,1013.5,54,0,-1,21.3,11.6,36540,219,3.8,2.4
2019,8,10,13:30,UTC,1,1013.4,52,0,-1,21.3,11,47970,212,4.1,2.5
2019,8,10,13:40,UTC,0,1013.4,54,0,-1,21.5,11.7,47870,193,3.6,2.6
2019,8,10,13:50,UTC,0,1013.3,51,0,-1,21.1,10.5,47610,185,3.4,2.2
2019,8,10,14:00,UTC,0,1013.3,51,0,-1,21,10.5,49250,205,3.5,1.9
2019,8,10,14:10,UTC,0,1013.3,52,0,-1,20.8,10.7,37390,209,3.3,2.1
2019,8,10,14:20,UTC,0,1013.2,54,0,-1,20.9,11.2,43250,193,2.8,1.8
2019,8,10,14:30,UTC,1,1013.2,58,0,-1,20.5,11.9,43210,191,3.6,2
2019,8,10,14:40,UTC,0,1013.2,62,0,-1,20.2,12.6,50000,160,3.4,2.3
2019,8,10,14:50,UTC,0,1013.2,61,0,-1,20,12.2,49030,148,3.7,2.4
2019,8,10,15:00,UTC,0,1013.1,60,0,-1,20.1,12.1,48370,157,3.7,2.3
2019,8,10,15:10,UTC,1,1013.1,60,0,-1,20.1,12,50000,165,3.7,2.5
2019,8,10,15:20,UTC,1,1013,60,0,-1,20.1,12,50000,165,4.7,3.1
2019,8,10,15:30,UTC,1,1013.1,72,0,-1,20.1,14.7,41630,159,4.7,3.7
2019,8,10,15:40,UTC,0,1013,73,0,-1,19.4,14.4,50000,152,5.2,3.6
2019,8,10,15:50,UTC,1,1012.9,77,0,-1,18.9,14.9,45440,158,5.4,3.7
2019,8,10,16:00,UTC,1,1012.9,77,0,-1,19.2,15.1,50000,150,4.5,3.2
2019,8,10,16:10,UTC,1,1012.9,77,0,-1,19,14.9,43690,147,5,3.4
2019,8,10,16:20,UTC,1,1012.8,77,0,-1,19,14.9,50000,153,4.4,3.2
2019,8,10,16:30,UTC,,,,,,,,,147,4.8,3.3
2019,8,10,16:40,UTC,0,1012.8,77,0,-1,18.9,14.8,49310,155,5,3.5
2019,8,10,16:50,UTC,0,1012.8,78,0,-1,19,15,40190,144,3.9,2.5
2019,8,10,17:00,UTC,1,1012.8,79,0,-1,18.9,15.2,46970,163,5.1,3.2
2019,8,10,17:10,UTC,0,1012.8,79,0,-1,18.9,15.1,45350,162,4.2,2.6
2019,8,10,17:20,UTC,0,1012.8,78,0,-1,19,14.9,44390,158,4,2.5
2019,8,10,17:30,UTC,1,1012.8,79,0,-1,19,15.2,40430,166,5,3.3
2019,8,10,17:40,UTC,0,1012.8,81,0,-1,18.9,15.6,43110,155,5,2.5
2019,8,10,17:50,UTC,1,1012.8,81,0,-1,18.9,15.5,40370,159,5.1,3.3
2019,8,10,18:00,UTC,3,1012.8,79,0,-1,18.9,15.3,35170,168,5.2,3.2
2019,8,10,18:10,UTC,3,1012.8,78,0,-1,18.9,15.1,41530,169,4.6,2.5
2019,8,10,18:20,UTC,3,1012.7,79,0,-1,18.8,15.2,34730,159,4.2,2.8
2019,8,10,18:30,UTC,1,1012.8,79,0,-1,18.6,14.9,39690,159,3.5,2.3
2019,8,10,18:40,UTC,1,1012.8,80,0,-1,18.7,15.1,38790,164,3.8,2
2019,8,10,18:50,UTC,0,1012.8,80,0,-1,18.7,15.1,42820,156,3.6,2.3
2019,8,10,19:00,UTC,1,1012.8,79,0,-1,18.7,15,39420,161,3.9,2.3
2019,8,10,19:10,UTC,5,1012.8,79,0,-1,18.8,15.1,41850,169,3.7,2.4
2019,8,10,19:20,UTC,7,1012.8,80,0,-1,18.7,15.1,38910,163,3.3,2.3
2019,8,10,19:30,UTC,7,1012.8,81,0,-1,18.8,15.4,37870,178,4.8,2.7
2019,8,10,19:40,UTC,7,1012.7,80,0,-1,18.8,15.2,35820,172,4.5,3
2019,8,10,19:50,UTC,7,1012.7,80,0,-1,18.7,15.2,43280,147,3.8,2.4
2019,8,10,20:00,UTC,7,1012.7,78,0,-1,18.7,14.8,40470,133,3.5,2.5
2019,8,10,20:10,UTC,7,1012.7,75,0,-1,18.8,14.2,40880,125,3.3,2.1
2019,8,10,20:20,UTC,7,1012.6,76,0,-1,18.7,14.3,44470,119,2.9,2.1
